timestamp,input_snippet,urls_found,max_score,verdict,signals_fired
2026-05-03 14:37:22,http://paypal.micros0ft.com/login,1,90,HIGH RISK — LIKELY PHISHING,"typosquat, brand_subdomain, susp_path, http_only"
2026-05-03 15:19:31,fghfhgf.com,1,10,LOW RISK,http_only
2026-05-03 15:19:47,www.fghfhgf.com.au,1,10,LOW RISK,http_only
2026-05-03 15:38:34,https://www.ray-ban.com/australia/sunglasses/RB3819Mrb3819m%20scuderia%20ferrari,1,10,LOW RISK,long_url
2026-05-03 16:17:18,http://paypal.micros0ft.com/login,1,90,HIGH RISK — LIKELY PHISHING,"typosquat, brand_subdomain, susp_path, http_only"
2026-05-03 16:21:34,streamlit.errors.StreamlitAPIException: st.session_state.main_input cannot be mo,2,10,LOW RISK,http_only
2026-05-03 16:28:13,https://ablink.info.remitly.com/ls/click?upn=u001.lrtrj1kUXODudvsM8HD1flBtyLUwyf,1,10,LOW RISK,long_url
2026-05-03 16:29:39,www.google.com,1,0,LIKELY SAFE,http_only
2026-05-03 16:56:28,https://github.com/devraj-vashi/cos80029-phishing-detection/invitations,1,0,LIKELY SAFE,none
2026-05-03 19:29:39,www.google.com,1,0,LIKELY SAFE,http_only
2026-05-03 19:35:28,https://www.google.com/search?sca_esv=687f1037b7fe1874&rlz=1C1HKFL_enAU1204AU120,1,0,LIKELY SAFE,long_url
2026-05-03 19:38:44,https://rail.ninja/route/melbourne-to-sydney#:~:text=Driving%20from%20Melbourne%,1,10,LOW RISK,long_url
2026-05-03 20:10:49,www.google.com,1,0,LIKELY SAFE,http_only
2026-05-03 20:12:39,https://paypa1.com/login/verify,1,45,MEDIUM RISK,"typosquat, susp_path"
2026-05-03 20:12:50,https://paypa1.com/login/verify,1,45,MEDIUM RISK,"typosquat, susp_path"
2026-05-03 20:13:17,http://paypal.attacker-domain.tk/confirm,1,80,HIGH RISK — LIKELY PHISHING,"brand_subdomain, susp_path, susp_tld, http_only"
2026-05-03 20:21:25,Delivered-To: barsarana1997@gmail.com Received: by 2002:a05:6918:6f07:b0:43a:c8d,9,45,MEDIUM RISK,"http_only, brand_subdomain"
2026-05-03 20:22:35,Delivered-To: barsarana1997@gmail.com Received: by 2002:a05:6918:6f07:b0:43a:c8d,9,45,MEDIUM RISK,"http_only, brand_subdomain"
2026-05-05 21:49:59,http://www.youtube.com.au,1,10,LOW RISK,http_only
2026-05-08 16:23:29,http://paypal.micros0ft.com/login,1,90,HIGH RISK — LIKELY PHISHING,"typosquat, brand_subdomain, susp_path, http_only"
